,Provider ID,HAI_1_SIR,HAI_2_SIR,HAI_3_SIR,HAI_4_SIR,HAI_5_SIR,HAI_6_SIR,COMP_HIP_KNEE,PSI
277,50042,0.0,0.0,0.0,0.0,0.0,0.41100000000000003,3.3,8.930000000000001
278,50043,0.512,0.67,1.222,0.0,0.557,0.955,3.9,190.75
279,50045,1.611,0.754,1.5190000000000001,0.0,0.978,0.983,2.7,20.979999999999997
280,50047,0.564,1.374,0.44299999999999995,0.8109999999999999,0.998,1.34,2.9,136.42
281,50054,0.264,0.5329999999999999,0.0,0.0,0.0,2.383,2.8,11.03
282,50055,0.597,1.0490000000000002,0.0,0.0,0.0,0.654,3.2,23.26
283,50056,1.2329999999999999,0.626,0.133,0.431,0.667,1.016,3.4,199.62
284,50057,0.294,0.36700000000000005,2.239,2.799,0.578,0.721,2.3,189.39
285,50058,0.11,0.33,0.39299999999999996,0.0,0.214,1.5090000000000001,3.3,177.39
286,50060,1.021,1.605,1.1340000000000001,1.137,1.145,0.988,3.0,194.96
287,50063,0.9309999999999999,0.588,0.91,0.0,0.49,0.584,2.8,153.08
288,50067,0.0,0.0,0.0,0.0,0.0,0.0,2.8,8.819999999999999
289,50069,1.082,0.6990000000000001,0.995,0.0,0.384,0.8340000000000001,2.2,164.35000000000002
290,50070,1.58,1.3559999999999999,1.3230000000000002,0.0,0.0,1.9780000000000002,0.0,7.97
291,50071,0.8370000000000001,1.042,1.456,1.459,1.5290000000000001,1.072,0.0,17.98
292,50072,0.9390000000000001,1.4169999999999998,1.584,2.947,0.42700000000000005,1.743,0.0,9.379999999999999
293,50073,0.608,0.521,0.728,0.0,0.0,0.9470000000000001,0.0,9.49
294,50075,0.654,0.8959999999999999,1.209,0.9,0.489,1.012,0.0,21.66
295,50076,0.391,0.95,1.444,4.023,0.294,0.723,0.0,18.24
296,50077,0.39799999999999996,0.9059999999999999,1.442,0.585,0.643,1.199,4.3,145.21
297,50078,0.38,0.11,0.0,0.0,0.0,0.794,3.3,21.68
298,50082,0.0,0.5710000000000001,1.922,0.0,1.274,1.06,2.8,143.77
299,50084,0.083,0.07200000000000001,0.265,0.0,1.544,1.137,2.8,183.44
300,50089,0.445,0.14300000000000002,0.0,0.0,0.857,1.115,0.0,10.56
301,50090,0.0,1.2670000000000001,0.0,0.0,0.0,1.693,3.1,11.03
302,50091,0.9309999999999999,0.565,0.0,0.0,0.0,0.16399999999999998,0.0,7.699999999999999
303,50093,0.643,0.614,1.189,0.7070000000000001,1.651,0.5429999999999999,2.5,184.04999999999998
304,50096,0.0,0.0,0.0,0.0,0.0,0.0,2.8,7.81
305,50099,0.797,0.934,2.72,1.8459999999999999,0.434,1.329,4.0,147.46
306,50100,0.251,1.181,1.8780000000000001,0.937,0.59,1.0490000000000002,2.3,166.85999999999999
307,50101,1.097,0.358,0.449,0.0,0.0,1.058,3.7,18.64
308,50102,0.785,0.586,0.7440000000000001,4.643,1.515,1.584,2.5,18.15
309,50103,0.7440000000000001,0.442,1.594,0.0,0.408,0.963,3.4,145.97
310,50104,0.5429999999999999,0.677,2.089,0.0,0.981,0.805,0.0,175.31000000000003
311,50107,0.243,0.37799999999999995,1.028,0.0,0.423,0.601,2.4,166.94
312,50108,0.456,0.47600000000000003,0.97,0.603,0.58,0.8370000000000001,2.4,181.49
313,50110,0.0,0.667,0.0,0.0,0.0,0.8140000000000001,2.8,20.01
314,50112,0.6679999999999999,0.5329999999999999,0.81,0.0,0.21,0.884,3.5,165.09
315,50113,0.0,0.7829999999999999,1.778,0.0,0.0,0.502,0.0,7.97
316,50115,0.385,0.518,1.4709999999999999,0.0,1.5590000000000002,0.948,2.4,166.57
317,50116,0.812,0.95,0.45,0.0,0.0,0.99,2.7,184.11
318,50118,0.0,0.242,1.9880000000000002,0.0,0.0,0.8959999999999999,2.8,8.36
319,50121,0.765,0.41100000000000003,1.903,0.0,1.0290000000000001,0.8059999999999999,2.7,180.82
320,50122,0.8740000000000001,0.604,0.0,0.0,2.515,1.578,2.7,146.92
321,50124,1.6280000000000001,1.325,0.0,0.0,0.635,0.961,3.0,21.03
322,50125,1.103,1.228,1.681,0.0,1.4780000000000002,0.807,4.1,143.48000000000002
